Address,City,Availability,Price,Beds,Baths,PropertyType,URL
"2061 St Paul Rd, Innisfil Beach, Ontario L9S 1V2",Innisfil Beach,For Lease,2995,3,1,Detached House,https://www.qterrapropertymanagement.com/properties/2061-st-paul-rd%2C-innisfil-beach%2C-ontario-l9s-1v2
"2-823 Stirling Ave S, Kitchener, Ontario N2M 3K4",Kitchener,For Lease,2299,3,2,Apartment,https://www.qterrapropertymanagement.com/properties/2-823-stirling-ave-s%2C-kitchener%2C-ontario-n2m-3k4
"1-5270 Buchanan Ave, Niagara Falls, Ontario L2E 5A8",Niagara Falls,For Lease,1995,3,1,,https://www.qterrapropertymanagement.com/properties/1-5270-buchanan-ave%2C-niagara-falls%2C-ontario-l2e-5a8
"2-3187 O'Hagan Dr, Mississauga, Ontario L5C 2C4",Mississauga,For Lease,1495,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-3187-o'hagan-dr%2C-mississauga%2C-ontario-l5c-2c4
"2-14 Marcel Brunelle Dr, Whitby, Ontario L1P 0G9",Whitby,For Lease,1795,2.5,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-14-marcel-brunelle-dr%2C-whitby%2C-ontario-l1p-0g9
"3-527 Barton St E, Hamilton, Ontario L8L 2Y9",Hamilton,For Lease,1495,1,2,,https://www.qterrapropertymanagement.com/properties/3-527-barton-st-e%2C-hamilton%2C-ontario-l8l-2y9
"326-20 All Nations Dr, Brampton, Ontario L7A 5M5",Brampton,For Lease,2050,1.5,1.5,Condo,https://www.qterrapropertymanagement.com/properties/326-20-all-nations-dr%2C-brampton%2C-ontario-l7a-5m5
"197 Louisa St, Ottawa, Ontario K1R 6Y9",Ottawa,For Lease,1690,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/197-louisa-st%2C-ottawa%2C-ontario-k1r-6y9
"3050 Rotary Way, Burlington, Ontario L7M 0G8",Burlington,For Lease,3050,2.5,1,Townhouse,https://www.qterrapropertymanagement.com/properties/3050-rotary-way%2C-burlington%2C-ontario-l7m-0g8
"802-461 Green Rd, Stoney Creek, Ontario L8E 5B4",Stoney Creek,For Lease,1895,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/802-461-green-rd%2C-stoney-creek%2C-ontario-l8e-5b4
"218-60 Honeycrisp Cres, Concord, Ontario L4K 0N5",Concord,For Lease,1695,1,1,Condo,https://www.qterrapropertymanagement.com/properties/218-60-honeycrisp-cres%2C-concord%2C-ontario-l4k-0n5
"5-210 Armstrong St, Ottawa, Ontario K1Y 2W4",Ottawa,For Lease,1850,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/5-210-armstrong-st%2C-ottawa%2C-ontario-k1y-2w4
"1-1978 Dufferin St, Toronto, Ontario M6E 3R1",Toronto,For Lease,3395,4,2.5,,https://www.qterrapropertymanagement.com/properties/1-1978-dufferin-st%2C-toronto%2C-ontario-m6e-3r1
"2-2458 Linwood St, Pickering, Ontario L1X 2N8",Pickering,For Lease,1695,1.5,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-2458-linwood-st%2C-pickering%2C-ontario-l1x-2n8
"228-4K Spadina Ave., Toronto, Ontario M5V 3Y9",Toronto,For Lease,2695,2,1,Condo,https://www.qterrapropertymanagement.com/properties/228-4k-spadina-ave.%2C-toronto%2C-ontario-m5v-3y9
"1-55 Crawford Dr, Brampton, Ontario L6V 2C6",Brampton,For Lease,2495,3,1,,https://www.qterrapropertymanagement.com/properties/1-55-crawford-dr%2C-brampton%2C-ontario-l6v-2c6
"1-70 Boundbrook Dr, Brampton, Ontario L7A 0L9",Brampton,For Lease,2499,4,2.5,Detached House,https://www.qterrapropertymanagement.com/properties/1-70-boundbrook-dr%2C-brampton%2C-ontario-l7a-0l9
"410-2 Manderley Dr, Scarborough, Ontario M1N 1R6",Scarborough,For Lease,1895,1.5,3,Condo,https://www.qterrapropertymanagement.com/properties/410-2-manderley-dr%2C-scarborough%2C-ontario-m1n-1r6
"459 N Service Road, Mississauga, Ontario L5A 1B1",Mississauga,For Lease,3695,4.5,1,Detached House,https://www.qterrapropertymanagement.com/properties/459-n-service-road%2C-mississauga%2C-ontario-l5a-1b1
"2005-284 King St E, Toronto, Ontario M5A 1K4",Toronto,For Lease,2795,2,2,Condo,https://www.qterrapropertymanagement.com/properties/2005-284-king-st-e%2C-toronto%2C-ontario-m5a-1k4
"1-95 Rockwell Ave, Toronto, Ontario M6N 1N9",Toronto,For Lease,2395,2,1,,https://www.qterrapropertymanagement.com/properties/1-95-rockwell-ave%2C-toronto%2C-ontario-m6n-1n9
"2-200 Chaffey St, Welland, Ontario L3B 2Y5",Welland,For Lease,1395,1,3.5,,https://www.qterrapropertymanagement.com/properties/2-200-chaffey-st%2C-welland%2C-ontario-l3b-2y5
"GS3-261 Dixon St, Kitchener, Ontario N2G 3G1",Kitchener,For Lease,1650,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/gs3-261-dixon-st%2C-kitchener%2C-ontario-n2g-3g1
"116 Parkview Hill Crescent, East York, Ontario M4B 1R4",East York,For Lease,3450,3,1.5,Detached House,https://www.qterrapropertymanagement.com/properties/116-parkview-hill-crescent%2C-east-york%2C-ontario-m4b-1r4
"1-2424 Howland Ave, Ottawa, Ontario K1G 1J5",Ottawa,For Lease,2395,3,1,,https://www.qterrapropertymanagement.com/properties/1-2424-howland-ave%2C-ottawa%2C-ontario-k1g-1j5
"2-10 Peer St, Markham, Ontario L6B 0R1",Markham,For Lease,1695,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-10-peer-st%2C-markham%2C-ontario-l6b-0r1
"709-134 York St, Ottawa, Ontario K1N 1K8",Ottawa,For Lease,2395,2,1,Condo,https://www.qterrapropertymanagement.com/properties/709-134-york-st%2C-ottawa%2C-ontario-k1n-1k8
"1-44 Division St, Welland, Ontario L3B 3Z6",Welland,For Lease,1299,0,1,,https://www.qterrapropertymanagement.com/properties/1-44-division-st%2C-welland%2C-ontario-l3b-3z6
"1-89 Enford Cres, Brampton, Ontario L7A 4C8",Brampton,For Lease,2795,4,2,,https://www.qterrapropertymanagement.com/properties/1-89-enford-cres%2C-brampton%2C-ontario-l7a-4c8
"504-280 Dundas St W, Toronto, Ontario M5T 1G2",Toronto,For Lease,4250,3,1,Condo,https://www.qterrapropertymanagement.com/properties/504-280-dundas-st-w%2C-toronto%2C-ontario-m5t-1g2
"35 Jay St, Brampton, Ontario L6Z 3V5",Brampton,For Lease,2995,3,1,Semi-Detached,https://www.qterrapropertymanagement.com/properties/35-jay-st%2C-brampton%2C-ontario-l6z-3v5
"2-542 Bartleman Terrace, Milton, Ontario L9T 6Z4",Milton,For Lease,2095,3,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-542-bartleman-terrace%2C-milton%2C-ontario-l9t-6z4
"93 Gateland Dr, Barrie, Ontario L9J 0N2",Barrie,For Lease,2595,3,2,Townhouse,https://www.qterrapropertymanagement.com/properties/93-gateland-dr%2C-barrie%2C-ontario-l9j-0n2
"2-50 Gabrielle Crescent, Whitby, Ontario L1R 3M5",Whitby,For Lease,1795,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-50-gabrielle-crescent%2C-whitby%2C-ontario-l1r-3m5
"2-27 Bexley Crescent, York, Ontario M6N 2P6",York,For Lease,1395,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-27-bexley-crescent%2C-york%2C-ontario-m6n-2p6
"57-226 Highview Ave W, London, Ontario N6J 4K1",London,For Lease,2250,3,1.5,Condo,https://www.qterrapropertymanagement.com/properties/57-226-highview-ave-w%2C-london%2C-ontario-n6j-4k1
"2-3910 Baggins Ct, Mississauga, Ontario L5N 7A2",Mississauga,For Lease,1750,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-3910-baggins-ct%2C-mississauga%2C-ontario-l5n-7a2
"2-38 Maple Crown Terrace, Barrie, Ontario L4M 7H4",Barrie,For Lease,1595,1,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-38-maple-crown-terrace%2C-barrie%2C-ontario-l4m-7h4
"224-755 Omega Drive, Pickering, Ontario L1V 0H1",Pickering,For Lease,2350,2,3,Townhouse,https://www.qterrapropertymanagement.com/properties/224-755-omega-drive%2C-pickering%2C-ontario-l1v-0h1
"206-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1450,1,1,,https://www.qterrapropertymanagement.com/properties/206-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"43 Kingbird Cmn, Cambridge, Ontario N1R 5S2",Cambridge,For Lease,2499,4,1,Stacked Townhouse,https://www.qterrapropertymanagement.com/properties/43-kingbird-cmn%2C-cambridge%2C-ontario-n1r-5s2
"2-14 Cranston Manor Ct, Scarborough, Ontario M1J 3M6",Scarborough,For Lease,1745,2,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-14-cranston-manor-ct%2C-scarborough%2C-ontario-m1j-3m6
"1-142 Brock St, Brockville, Ontario K6V 4G4",Brockville,For Lease,1350,1,1,,https://www.qterrapropertymanagement.com/properties/1-142-brock-st%2C-brockville%2C-ontario-k6v-4g4
"3-234 King St W, Hamilton, Ontario L8P 1A9",Hamilton,For Lease,1495,2,1,,https://www.qterrapropertymanagement.com/properties/3-234-king-st-w%2C-hamilton%2C-ontario-l8p-1a9
"5-1 Bond Crescent, Richmond Hill, Ontario L4E 1J4",Richmond Hill,For Lease,2095,1,2,Townhouse,https://www.qterrapropertymanagement.com/properties/5-1-bond-crescent%2C-richmond-hill%2C-ontario-l4e-1j4
"3-484 Main St E, Hamilton, Ontario L8N 1K6",Hamilton,For Lease,1795,2,1,,https://www.qterrapropertymanagement.com/properties/3-484-main-st-e%2C-hamilton%2C-ontario-l8n-1k6
"2-4377 Violet Rd, Mississauga, Ontario L5V 1J8",Mississauga,For Lease,1550,1,4,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-4377-violet-rd%2C-mississauga%2C-ontario-l5v-1j8
"1-149 Wilson Road South, Oshawa, Ontario L1H 6C2",Oshawa,For Lease,2695,3.5,1,,https://www.qterrapropertymanagement.com/properties/1-149-wilson-road-south%2C-oshawa%2C-ontario-l1h-6c2
"2-330 Arlington Ave, York, Ontario M6C 2Z9",York,For Lease,1950,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-330-arlington-ave%2C-york%2C-ontario-m6c-2z9
"202-350 Malaga Rd, Oshawa, Ontario L1J 1N7",Oshawa,For Lease,2095,2,1,Apartment,https://www.qterrapropertymanagement.com/properties/202-350-malaga-rd%2C-oshawa%2C-ontario-l1j-1n7
"802-30 Elm Drive West, Mississauga, Ontario L5B 0N6",Mississauga,For Lease,2550,2,1,Condo,https://www.qterrapropertymanagement.com/properties/802-30-elm-drive-west%2C-mississauga%2C-ontario-l5b-0n6
"368 Moffatt Pond Ct, Ottawa, Ontario K2J 0C7",Ottawa,For Lease,2350,2,1,Townhouse,https://www.qterrapropertymanagement.com/properties/368-moffatt-pond-ct%2C-ottawa%2C-ontario-k2j-0c7
"1-76 Ambleside Dr, Brampton, Ontario L6Y 1B9",Brampton,For Lease,2595,2.5,1,,https://www.qterrapropertymanagement.com/properties/1-76-ambleside-dr%2C-brampton%2C-ontario-l6y-1b9
"207-1335 Williamsport Dr, Mississauga, Ontario L4X 2S9",Mississauga,For Lease,2745,2.5,2.5,Townhouse,https://www.qterrapropertymanagement.com/properties/207-1335-williamsport-dr%2C-mississauga%2C-ontario-l4x-2s9
"2-3895 Barley Trail, Mississauga, Ontario L5M 6N2",Mississauga,For Lease,1695,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-3895-barley-trail%2C-mississauga%2C-ontario-l5m-6n2
"2-56 Singhampton Rd, Vaughan, Ontario L4H 3Y5",Vaughan,For Lease,1450,1,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-56-singhampton-rd%2C-vaughan%2C-ontario-l4h-3y5
"18 Darrell Ave, Toronto, Ontario M4E 2G4",Toronto,For Lease,3395,4,2.5,Detached House,https://www.qterrapropertymanagement.com/properties/18-darrell-ave%2C-toronto%2C-ontario-m4e-2g4
"2-106 Reiner Rd, North York, Ontario M3H 2L6",North York,For Lease,1895,1,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-106-reiner-rd%2C-north-york%2C-ontario-m3h-2l6
"2-224 Taunton Rd W, Oshawa, Ontario L1G 3T3",Oshawa,For Lease,1195,2,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-224-taunton-rd-w%2C-oshawa%2C-ontario-l1g-3t3
"1B-1088 Gregg St, Ottawa, Ontario K1V 6G7",Ottawa,For Lease,1695,0,1.5,,https://www.qterrapropertymanagement.com/properties/1b-1088-gregg-st%2C-ottawa%2C-ontario-k1v-6g7
"A-124 Church St, Kitchener, Ontario N2G 2S4",Kitchener,For Lease,2695,5,1,,https://www.qterrapropertymanagement.com/properties/a-124-church-st%2C-kitchener%2C-ontario-n2g-2s4
"1211-12 Yonge St, Toronto, Ontario M5E 1Z9",Toronto,For Lease,2799,1.5,3,Condo,https://www.qterrapropertymanagement.com/properties/1211-12-yonge-st%2C-toronto%2C-ontario-m5e-1z9
"12 Rudder Rd, Welland, Ontario L3B 0M5",Welland,For Lease,2495,4,1,Detached House,https://www.qterrapropertymanagement.com/properties/12-rudder-rd%2C-welland%2C-ontario-l3b-0m5
"2-606 Chauncer Ave, Oshawa, Ontario L1H 3H4",Oshawa,For Lease,1495,0,1,Apartment,https://www.qterrapropertymanagement.com/properties/2-606-chauncer-ave%2C-oshawa%2C-ontario-l1h-3h4
"2-6 Kings Point Dr, Etobicoke, Ontario M8Y 1Z4",Etobicoke,For Lease,1850,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/2-6-kings-point-dr%2C-etobicoke%2C-ontario-m8y-1z4
"74 Cassander Cres, Brampton, Ontario L6Z 1Z2",Brampton,For Lease,2999,4,1,Detached House,https://www.qterrapropertymanagement.com/properties/74-cassander-cres%2C-brampton%2C-ontario-l6z-1z2
"2915 Bur Oak Ave, Markham, Ontario L6B 1E6",Markham,For Lease,2150,2.5,2,Apartment,https://www.qterrapropertymanagement.com/properties/2915-bur-oak-ave%2C-markham%2C-ontario-l6b-1e6
"3-232 Lawrence Ave W, Toronto, Ontario M4R 2J3",Toronto,For Lease,3195,3,2.5,,https://www.qterrapropertymanagement.com/properties/3-232-lawrence-ave-w%2C-toronto%2C-ontario-m4r-2j3
"5364 Glen Erin Dr, Mississauga, Ontario L5M 5C2",Mississauga,For Lease,3995,5,1,Detached House,https://www.qterrapropertymanagement.com/properties/5364-glen-erin-dr%2C-mississauga%2C-ontario-l5m-5c2
"S3-376 Woodbine Ave, Toronto, Ontario M4L 3P6",Toronto,For Lease,2395,2,1,,https://www.qterrapropertymanagement.com/properties/s3-376-woodbine-ave%2C-toronto%2C-ontario-m4l-3p6
"1-200 Chaffey St, Welland, Ontario L3B 2Y5",Welland,For Lease,1549,2,1,,https://www.qterrapropertymanagement.com/properties/1-200-chaffey-st%2C-welland%2C-ontario-l3b-2y5
"2-547 Windfields Farm Dr W, Oshawa, Ontario L1H 7K4",Oshawa,For Lease,1395,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-547-windfields-farm-dr-w%2C-oshawa%2C-ontario-l1h-7k4
"1-2 Quinlan Rd, Barrie, Ontario L4M 7A9",Barrie,For Lease,2595,3,1,,https://www.qterrapropertymanagement.com/properties/1-2-quinlan-rd%2C-barrie%2C-ontario-l4m-7a9
"1-27 Murchison Crescent, Etobicoke, Ontario M9V 3P5",Etobicoke,For Lease,2650,3,1,,https://www.qterrapropertymanagement.com/properties/1-27-murchison-crescent%2C-etobicoke%2C-ontario-m9v-3p5
"2-86 Taylor Dr, Barrie, Ontario L4N 8K3",Barrie,For Lease,1695,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-86-taylor-dr%2C-barrie%2C-ontario-l4n-8k3
"2-24 Pindar Crescent, North York, Ontario M2J 3L4",North York,For Lease,1595,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-24-pindar-crescent%2C-north-york%2C-ontario-m2j-3l4
"3-32 Brock St W, Oshawa, Ontario L1G 1R4",Oshawa,For Lease,2295,2.5,1,,https://www.qterrapropertymanagement.com/properties/3-32-brock-st-w%2C-oshawa%2C-ontario-l1g-1r4
"2-2688 Sapphire Dr, Pickering, Ontario L1X 0G5",Pickering,For Lease,1695,2,3,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-2688-sapphire-dr%2C-pickering%2C-ontario-l1x-0g5
"2-600 Bradley Dr, Whitby, Ontario L1N 6W3",Whitby,For Lease,1750,2,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-600-bradley-dr%2C-whitby%2C-ontario-l1n-6w3
"692B Crystal St, Ottawa, Ontario K1K 2G2",Ottawa,For Lease,2150,2,1,,https://www.qterrapropertymanagement.com/properties/692b-crystal-st%2C-ottawa%2C-ontario-k1k-2g2
"2-19 Grandwood Ave, Whitchurch-Stouffville, Ontario L4A 0M6",Whitchurch-Stouffville,For Lease,1595,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-19-grandwood-ave%2C-whitchurch-stouffville%2C-ontario-l4a-0m6
"306-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1425,1,1,,https://www.qterrapropertymanagement.com/properties/306-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"1-18 Thirty Third Street, Etobicoke, Ontario M8W 3G9",Etobicoke,For Lease,2495,2,1.5,,https://www.qterrapropertymanagement.com/properties/1-18-thirty-third-street%2C-etobicoke%2C-ontario-m8w-3g9
"1-22 Cumberland Dr, Brampton, Ontario L6V 1W6",Brampton,For Lease,2495,3,1,,https://www.qterrapropertymanagement.com/properties/1-22-cumberland-dr%2C-brampton%2C-ontario-l6v-1w6
"3-255 Country Glen Rd, Markham, Ontario L6B 1C3",Markham,For Lease,1395,0,1,Apartment,https://www.qterrapropertymanagement.com/properties/3-255-country-glen-rd%2C-markham%2C-ontario-l6b-1c3
"520-7437 Kingston Rd, Scarborough, Ontario M1B 0E9",Scarborough,For Lease,1875,1,1,Condo,https://www.qterrapropertymanagement.com/properties/520-7437-kingston-rd%2C-scarborough%2C-ontario-m1b-0e9
"1-58 Rollingwood Dr, Brampton, Ontario L6Y 5R1",Brampton,For Lease,2695,4,1,,https://www.qterrapropertymanagement.com/properties/1-58-rollingwood-dr%2C-brampton%2C-ontario-l6y-5r1
"1-83 Hammond Rd, Mississauga, Ontario L5M 2A3",Mississauga,For Lease,2795,3,2,,https://www.qterrapropertymanagement.com/properties/1-83-hammond-rd%2C-mississauga%2C-ontario-l5m-2a3
"216-1459 Trafalgar St, London, Ontario N5W 1W8",London,For Lease,1575,2,1,,https://www.qterrapropertymanagement.com/properties/216-1459-trafalgar-st%2C-london%2C-ontario-n5w-1w8
"2005-50 Grand Ave S, Cambridge, Ontario N1S 0C2",Cambridge,For Lease,2499,2,1.5,Condo,https://www.qterrapropertymanagement.com/properties/2005-50-grand-ave-s%2C-cambridge%2C-ontario-n1s-0c2
"2-2409 Bankside Dr, Mississauga, Ontario L5M 6E6",Mississauga,For Lease,1450,1,1,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-2409-bankside-dr%2C-mississauga%2C-ontario-l5m-6e6
"406-10 Morrison St, Toronto, Ontario M5V 2T8",Toronto,For Lease,2750,1.5,1,Condo,https://www.qterrapropertymanagement.com/properties/406-10-morrison-st%2C-toronto%2C-ontario-m5v-2t8
"612-1440 Clarriage Ct, Milton, Ontario L9T 2X5",Milton,For Lease,2395,2,1,Condo,https://www.qterrapropertymanagement.com/properties/612-1440-clarriage-ct%2C-milton%2C-ontario-l9t-2x5
"98 Canter Blvd, Nepean, Ontario K2G 2M7",Nepean,For Lease,2450,3,2.5,Semi-Detached,https://www.qterrapropertymanagement.com/properties/98-canter-blvd%2C-nepean%2C-ontario-k2g-2m7
"1-60 Normandy Crescent, Richmond Hill, Ontario L4C 8L7",Richmond Hill,For Lease,2995,4,1.5,,https://www.qterrapropertymanagement.com/properties/1-60-normandy-crescent%2C-richmond-hill%2C-ontario-l4c-8l7
"111-1103 Jalna Blvd, London, Ontario N6E 2W8",London,For Lease,1699,1,1,Condo,https://www.qterrapropertymanagement.com/properties/111-1103-jalna-blvd%2C-london%2C-ontario-n6e-2w8
"1-71 Chamomile Dr, Hamilton, Ontario L8W 0C1",Hamilton,For Lease,2795,3,2,,https://www.qterrapropertymanagement.com/properties/1-71-chamomile-dr%2C-hamilton%2C-ontario-l8w-0c1
"267-60 Parrotta Dr, Toronto, Ontario M9M 0E5",Toronto,For Lease,2499,2,1,Townhouse,https://www.qterrapropertymanagement.com/properties/267-60-parrotta-dr%2C-toronto%2C-ontario-m9m-0e5
"4-823 Stirling Ave S, Kitchener, Ontario N2M 3K4",Kitchener,For Lease,1999,2,1,Stacked Townhouse,https://www.qterrapropertymanagement.com/properties/4-823-stirling-ave-s%2C-kitchener%2C-ontario-n2m-3k4
"101-350 Malaga Rd, Oshawa, Ontario L1J 1N7",Oshawa,For Lease,1950,2,2,Apartment,https://www.qterrapropertymanagement.com/properties/101-350-malaga-rd%2C-oshawa%2C-ontario-l1j-1n7
"2-37 Ash Crescent, Etobicoke, Ontario M8W 1E4",Etobicoke,For Lease,1599,1,2.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-37-ash-crescent%2C-etobicoke%2C-ontario-m8w-1e4
"2405-284 King St E, Toronto, Ontario M5A 1K4",Toronto,For Lease,2750,2,2.5,Condo,https://www.qterrapropertymanagement.com/properties/2405-284-king-st-e%2C-toronto%2C-ontario-m5a-1k4
"6-164 Main St, Ottawa, Ontario K1S 1C2",Ottawa,For Lease,1895,2,1,Apartment,https://www.qterrapropertymanagement.com/properties/6-164-main-st%2C-ottawa%2C-ontario-k1s-1c2
"3-1052 Barton St E, Hamilton, Ontario L8L 3E5",Hamilton,For Lease,1695,2,2.5,Apartment,https://www.qterrapropertymanagement.com/properties/3-1052-barton-st-e%2C-hamilton%2C-ontario-l8l-3e5
"2-1 Radley St, Woodbridge, Ontario L4L 8J7",Woodbridge,For Lease,1899,1,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-1-radley-st%2C-woodbridge%2C-ontario-l4l-8j7
"1-177 Colborne St, London, Ontario N6B 2S3",London,For Lease,1899,3,1,,https://www.qterrapropertymanagement.com/properties/1-177-colborne-st%2C-london%2C-ontario-n6b-2s3
"726-86 Dundas St E, Mississauga, Ontario L5A 0B1",Mississauga,For Lease,2195,1.5,2,Condo,https://www.qterrapropertymanagement.com/properties/726-86-dundas-st-e%2C-mississauga%2C-ontario-l5a-0b1
"2-22 Vandervoort Dr, Richmond Hill, Ontario L4E 0C6",Richmond Hill,For Lease,1695,2,1.5,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-22-vandervoort-dr%2C-richmond-hill%2C-ontario-l4e-0c6
"1-210 Armstrong St, Ottawa, Ontario K1Y 2W4",Ottawa,For Lease,1950,2,1,,https://www.qterrapropertymanagement.com/properties/1-210-armstrong-st%2C-ottawa%2C-ontario-k1y-2w4
"413-58 Sky Harbour Dr, Brampton, Ontario L6Y 6J1",Brampton,For Lease,2295,2,3.5,Condo,https://www.qterrapropertymanagement.com/properties/413-58-sky-harbour-dr%2C-brampton%2C-ontario-l6y-6j1
"4-208 Clarence St., Ottawa, Ontario K1N 5R1",Ottawa,For Lease,1950,1,1,Apartment,https://www.qterrapropertymanagement.com/properties/4-208-clarence-st.%2C-ottawa%2C-ontario-k1n-5r1
"2711-3525 Kariya Dr, Mississauga, Ontario L5B 0C2",Mississauga,For Lease,2399,2,3.5,Condo,https://www.qterrapropertymanagement.com/properties/2711-3525-kariya-dr%2C-mississauga%2C-ontario-l5b-0c2
"2-12 Prairie Grass Cres, East Gwillimbury, Ontario L9N 0S8",East Gwillimbury,For Lease,1995,2,2,Basement Apartment,https://www.qterrapropertymanagement.com/properties/2-12-prairie-grass-cres%2C-east-gwillimbury%2C-ontario-l9n-0s8
